epoch,step,train_loss,val_acc,val_loss
0,2471,,0.9082971811294556,0.25294700264930725
0,2471,0.5076875686645508,,
1,4943,,0.9260308146476746,0.2060212939977646
1,4943,0.22484247386455536,,
2,7415,,0.9367405772209167,0.18646620213985443
2,7415,0.1945488005876541,,
3,9887,,0.9407551288604736,0.17507439851760864
3,9887,0.18023552000522614,,
4,12359,,0.942525327205658,0.16603001952171326
4,12359,0.16980905830860138,,
5,14831,,0.9459266662597656,0.16002260148525238
5,14831,0.16227386891841888,,
6,17303,,0.9477789998054504,0.15351669490337372
6,17303,0.156663715839386,,
7,19775,,0.9489675760269165,0.15101943910121918
7,19775,0.1524941325187683,,
8,22247,,0.9489359855651855,0.14886541664600372
8,22247,0.14889168739318848,,
