epoch,step,train_loss,val_acc,val_loss
0,2471,,0.903776228427887,0.2614421546459198
0,2471,0.5124391913414001,,
1,4943,,0.9199926853179932,0.22174562513828278
1,4943,0.23808106780052185,,
2,7415,,0.9296593070030212,0.2049182504415512
2,7415,0.21175645291805267,,
3,9887,,0.9317329525947571,0.19441066682338715
3,9887,0.19811591506004333,,
4,12359,,0.9386241436004639,0.18502745032310486
4,12359,0.1892777979373932,,
5,14831,,0.9418105483055115,0.17840708792209625
5,14831,0.18197539448738098,,
6,17303,,0.9430370330810547,0.17380091547966003
6,17303,0.1757003515958786,,
7,19775,,0.9441561102867126,0.16788677871227264
7,19775,0.17051202058792114,,
8,22247,,0.9472033977508545,0.16262073814868927
8,22247,0.16589610278606415,,
9,24719,,0.9475953578948975,0.1576850712299347
9,24719,0.16074077785015106,,
10,27191,,0.9486764669418335,0.15076781809329987
10,27191,0.15403665602207184,,
11,29663,,0.9536646604537964,0.13880735635757446
11,29663,0.14400917291641235,,
12,32135,,0.9560038447380066,0.12848611176013947
12,32135,0.1327556073665619,,
13,34607,,0.9598035216331482,0.12092308700084686
13,34607,0.1246471032500267,,
14,37079,,0.9610300064086914,0.11712265014648438
14,37079,0.11835011839866638,,
