epoch,step,train_loss,val_acc,val_loss
0,2471,,0.9029859900474548,0.25403761863708496
0,2471,0.4993954300880432,,
1,4943,,0.9234762191772461,0.2062564641237259
1,4943,0.2236911654472351,,
2,7415,,0.9289954900741577,0.18786725401878357
2,7415,0.19692011177539825,,
3,9887,,0.9381057620048523,0.1755898892879486
3,9887,0.18189506232738495,,
4,12359,,0.9407168030738831,0.16627821326255798
4,12359,0.17196331918239594,,
5,14831,,0.9449084401130676,0.15993210673332214
5,14831,0.16476117074489594,,
6,17303,,0.9476332664489746,0.1515756994485855
6,17303,0.15770523250102997,,
7,19775,,0.9526973366737366,0.14186826348304749
7,19775,0.1488601714372635,,
8,22247,,0.9586086273193359,0.13090260326862335
8,22247,0.13873648643493652,,
