dataset_key,ratio,local_p1_mean,local_p1_std,local_p2_mean,local_p2_std,fed_p1_mean,fed_p1_std,fed_p2_mean,fed_p2_std
1,0.125,0.6498862028121948,0.12313898264420582,0.8882254600524903,0.013535393215809832,0.8903499493267886,0.01965006934337023,0.8903484525229329,0.02024126332114452
1,0.25,0.7712581038475037,0.03989880039905874,0.8705053746700286,0.021570234131711344,0.884669250588113,0.02017044055500374,0.8845432185568587,0.020009192596464883
1,0.5,0.7987150311470032,0.07356885946685734,0.8233404338359833,0.0648060690793897,0.8597650761665895,0.057045495729238664,0.8602688758749026,0.056446435508360246
1,1.0,0.8350434720516204,0.030301341793778483,0.7990169167518616,0.04886588201309993,0.8348744728872817,0.07419876987681066,0.8349212571045627,0.07370097799909399
1,2.0,0.8477264046669006,0.027992977162223875,0.7977098226547241,0.05540345457130388,0.8614560961474611,0.026999987656543784,0.8616767050718181,0.026810106707004948
1,4.0,0.8729433357715607,0.018422949345894946,0.751951950788498,0.08085496840586187,0.8868360877333801,0.022080443619913688,0.886556303394137,0.02246850946329507
1,8.0,0.8736931025981903,0.025805928249083235,0.6341820776462554,0.08367282278345774,0.8795849860938434,0.02871778838832599,0.8795256738656869,0.028091494903220195
5,0.125,0.8152233362197876,0.044054335599691734,0.9179753005504608,0.020609002433302135,0.9313797048816153,0.009100038467079003,0.9312822108053087,0.00953215729654377
5,0.25,0.8857025384902955,0.017770188654330377,0.9196627855300903,0.018205860445435054,0.9296722020709401,0.013809142510008397,0.9299313413015685,0.013765552593528654
5,0.5,0.903833132982254,0.023804320192640505,0.9252264142036438,0.01492260548851614,0.9341425052398031,0.004979693666485546,0.9339033786057096,0.00504835713797803
5,1.0,0.9188249588012696,0.01819353545920562,0.9231365442276,0.005882050262260279,0.904620283407203,0.07115910895718082,0.9048513650402373,0.07078480666253213
5,2.0,0.9205464243888855,0.009092846906144815,0.914084529876709,0.009266732631705873,0.929691912572493,0.006164032463232028,0.9297123950551549,0.006276386498859421
5,4.0,0.9210785746574401,0.00984778743446088,0.8674379587173462,0.027692112888952236,0.9328229347800452,0.008609511008280071,0.9327919845601554,0.008410871106914825
5,8.0,0.9324125051498413,0.004502134314351016,0.8495448052883148,0.019894574757769477,0.9307059517633217,0.008233381322502458,0.9308845292554302,0.00830827584796743
10,0.125,0.8961165964603424,0.012195577223284034,0.9406298756599426,0.007554855865778665,0.9303519255389171,0.008468158594272378,0.1881897127478283,0.39674505853123315
10,0.25,0.8825705945491791,0.08222984579030254,0.936232841014862,0.007768730513609228,0.9031658618204739,0.06817767868408882,0.18742030575915516,0.3951170198956858
10,0.5,0.9277731359004975,0.009673937101679228,0.9348114609718323,0.005164360662095269,0.9198360063328384,0.031728207074510364,0.09453397977690584,0.2989426923753187
10,1.0,0.9280755043029785,0.010078858282288935,0.9353706479072571,0.0070259655477265615,0.9372110681272605,0.009696888057338673,0.18793872030073383,0.3962104285637059
10,2.0,0.9309586346149444,0.009379776389249342,0.9261903882026672,0.01331556664475568,0.9342282474850696,0.016392895743052572,0.09455782764510137,0.299018105956156
10,4.0,0.9307750165462494,0.0076114342663650926,0.9267095625400543,0.01472366201619547,0.935659325980818,0.009710059327100387,0.0,0.0
10,8.0,0.9377672851085663,0.008468825592488896,0.8929843544960022,0.04957640052592522,0.9391029385389109,0.009225281271524081,0.2849434986457883,0.45881501408713826
