percentage,mean_accuracy
5,0.8372909724712372
10,0.8795353293418884
15,0.8876476466655732
20,0.898489797115326
25,0.9133327960968017
30,0.9257270336151123
35,0.9013317227363586
40,0.929389363527298
45,0.9279791474342346
50,0.9317233860492706
55,0.9268270432949066
60,0.9316029965877533
65,0.9360959529876709
70,0.9295681655406952
75,0.9310229301452637
80,0.937541538476944
85,0.9366649270057679
90,0.932523912191391
95,0.9383067965507508
100,0.9384249567985534
