percentage,accuracy
5,0.8676465749740601
10,0.9022127389907837
15,0.9220378398895264
20,0.927540123462677
25,0.9338007569313049
30,0.9312726259231567
35,0.7812574505805969
40,0.94291090965271
45,0.9282678365707397
50,0.9394335746765137
55,0.9422525763511658
60,0.939193844795227
65,0.9418506026268005
70,0.9321900606155396
75,0.9440761208534241
80,0.9413775205612183
85,0.9395617842674255
90,0.9372997879981995
95,0.9487703442573547
100,0.9419749975204468
