epoch,step,train_loss,val_acc,val_loss
0,2471,,0.9028348326683044,0.2632454037666321
0,2471,0.4827157258987427,,
1,4943,,0.9256135821342468,0.21207578480243683
1,4943,0.23091012239456177,,
2,7415,,0.9322770833969116,0.1916658580303192
2,7415,0.19826103746891022,,
3,9887,,0.9391493201255798,0.17614948749542236
3,9887,0.18049466609954834,,
4,12359,,0.9426391124725342,0.16786716878414154
4,12359,0.1698322594165802,,
5,14831,,0.9427086710929871,0.16275838017463684
5,14831,0.16269245743751526,,
6,17303,,0.9486830830574036,0.15573173761367798
6,17303,0.1568877249956131,,
7,19775,,0.9498210549354553,0.14945971965789795
7,19775,0.15089716017246246,,
8,22247,,0.9526913166046143,0.14456807076931
8,22247,0.14554163813591003,,
9,24719,,0.9572116732597351,0.13668251037597656
9,24719,0.13949047029018402,,
10,27191,,0.9650195240974426,0.11696051806211472
10,27191,0.12374809384346008,,
11,29663,,0.9677127599716187,0.10746904462575912
11,29663,0.11030648648738861,,
12,32135,,0.9686357975006104,0.1046728864312172
12,32135,0.10334071516990662,,
