epoch,step,train_loss,val_acc,val_loss
0,1235,,0.8880852460861206,0.321236789226532
0,1235,0.7066762447357178,,
1,2471,,0.9100484251976013,0.2507612705230713
1,2471,0.2766362428665161,,
2,3707,,0.9167752265930176,0.23024234175682068
2,3707,0.23760667443275452,,
3,4943,,0.9222375154495239,0.21478533744812012
3,4943,0.22161874175071716,,
4,6179,,0.9244755506515503,0.20503774285316467
4,6179,0.21100959181785583,,
5,7415,,0.9296597242355347,0.196415975689888
5,7415,0.20045770704746246,,
6,8651,,0.9322139024734497,0.19015257060527802
6,8651,0.19298911094665527,,
7,9887,,0.9301149249076843,0.18874751031398773
7,9887,0.18744345009326935,,
8,11123,,0.9339714646339417,0.18123851716518402
8,11123,0.1834997981786728,,
9,12359,,0.9345783591270447,0.17884565889835358
9,12359,0.18009647727012634,,
10,13595,,0.937322199344635,0.17748838663101196
10,13595,0.1769682615995407,,
11,14831,,0.9355899095535278,0.1797192543745041
11,14831,0.17458893358707428,,
12,16067,,0.9383969306945801,0.17116889357566833
12,16067,0.1722259372472763,,
13,17303,,0.9381567239761353,0.16945785284042358
13,17303,0.16952019929885864,,
14,18539,,0.9414695501327515,0.16594044864177704
14,18539,0.16730241477489471,,
