epoch,step,train_loss,val_acc,val_loss
0,2471,,0.9116795659065247,0.24932168424129486
0,2471,0.47726184129714966,,
1,4943,,0.9223386645317078,0.20872358977794647
1,4943,0.22390377521514893,,
2,7415,,0.9288188815116882,0.1884269118309021
2,7415,0.19566123187541962,,
3,9887,,0.9374802708625793,0.1749856323003769
3,9887,0.17931883037090302,,
4,12359,,0.9420574903488159,0.16672241687774658
4,12359,0.16921746730804443,,
5,14831,,0.9425379633903503,0.16055601835250854
5,14831,0.1612982600927353,,
6,17303,,0.9439477920532227,0.15529929101467133
6,17303,0.15508908033370972,,
7,19775,,0.9457243084907532,0.1502247303724289
7,19775,0.1505003124475479,,
8,22247,,0.9471468329429626,0.14788375794887543
8,22247,0.1468506157398224,,
9,24719,,0.9499980807304382,0.14374589920043945
9,24719,0.1431446075439453,,
10,27191,,0.9529442191123962,0.13716641068458557
10,27191,0.13839834928512573,,
11,29663,,0.9617067575454712,0.12202005833387375
11,29663,0.12821201980113983,,
12,32135,,0.9629332423210144,0.11175232380628586
12,32135,0.11373773217201233,,
13,34607,,0.9659805297851562,0.10589349269866943
13,34607,0.1052682176232338,,
14,37079,,0.9668466448783875,0.1026875227689743
14,37079,0.10060947388410568,,
